Sample_accession	sample_title	species	library_layout	read_count
ERR1755082	Egr2/3_DKO_CD4_1	Mus musculus	PAIRED	42437095
ERR1755083	Egr2/3_DKO_CD4_2	Mus musculus	PAIRED	38277843
ERR1755084	Egr2/3_DKO_CD4_3	Mus musculus	PAIRED	40559103
ERR1755085	Egr2/3_DKO_CD8_1	Mus musculus	PAIRED	39587946
ERR1755086	Egr2/3_DKO_CD8_2	Mus musculus	PAIRED	33864837
ERR1755087	Egr2/3_DKO_CD8_3	Mus musculus	PAIRED	35461148
ERR1755088	Egr2_Kin_CD4_1	Mus musculus	PAIRED	41089712
ERR1755089	Egr2_Kin_CD4_2	Mus musculus	PAIRED	39185204
ERR1755090	Egr2_Kin_CD4_3	Mus musculus	PAIRED	33437080
ERR1755091	Egr2_Kin_CD8_1	Mus musculus	PAIRED	37333981
ERR1755092	Egr2_Kin_CD8_2	Mus musculus	PAIRED	35967925
ERR1755093	Egr2_Kin_CD8_3	Mus musculus	PAIRED	41145698
