chrom	start	end	gene	score	strand	interval
chr13	46553167	46753040	ENSG00000136141	0	+	199873
chr6	96015983	96215612	ENSG00000172461	0	+	199629
chr4	110365732	110565285	ENSG00000138792	0	+	199553
chr11	10308312	10507579	ENSG00000133805	0	+	199267
chr8	135457456	135656722	ENSG00000131773	0	+	199266
chr7	113876776	114075920	ENSG00000154415	0	-	199144
chr6	11183297	11382348	ENSG00000111859	0	-	199051
chr7	141907812	142106747	ENSG00000257335	0	+	198935
chr2	9206764	9405683	ENSG00000151693	0	+	198919
chrX	134565837	134764322	ENSG00000170965	0	-	198485
chr4	10486394	10684865	ENSG00000109684	0	-	198471
chr6	109492855	109691217	ENSG00000155085	0	-	198362
chr1	76867440	77065711	ENSG00000117069	0	+	198271
chr10	7818503	8016627	ENSG00000165632	0	+	198124
chr12	43353865	43551921	ENSG00000173157	0	-	198056
chr5	174045603	174243501	ENSG00000170091	0	+	197898
chr2	101696849	101894689	ENSG00000071054	0	+	197840
chr1	161766293	161964070	ENSG00000118217	0	+	197777
chr11	46396413	46594125	ENSG00000110497	0	-	197712
chr11	73400486	73598189	ENSG00000054965	0	-	197703
chr13	75284664	75482114	ENSG00000136111	0	-	197450
chr5	147585438	147782848	ENSG00000176049	0	-	197410
chr2	165194992	165392310	ENSG00000136531	0	+	197318
chr16	14435700	14632728	ENSG00000140694	0	-	197028
chr2	30447225	30644225	ENSG00000172954	0	+	197000
chr13	112690328	112887168	ENSG00000068650	0	+	196840
chr3	47585271	47782106	ENSG00000173473	0	-	196835
chr5	35617843	35814611	ENSG00000152582	0	+	196768
chr1	178725146	178921841	ENSG00000116191	0	+	196695
chr13	40469952	40666597	ENSG00000150907	0	-	196645
chr1	235131633	235328219	ENSG00000054267	0	-	196586
chr5	139846778	140043299	ENSG00000158458	0	-	196521
chr8	80034744	80231232	ENSG00000076554	0	-	196488
chr7	101362819	101559024	ENSG00000160963	0	+	196205
chr4	2536630	2732565	ENSG00000125386	0	+	195935
chr6	40391585	40587465	ENSG00000156564	0	-	195880
chr8	29067278	29263124	ENSG00000197892	0	-	195846
chr9	74497364	74693177	ENSG00000198963	0	+	195813
chrX	44147881	44343672	ENSG00000183690	0	-	195791
chr7	10973871	11169630	ENSG00000106443	0	+	195759
chr10	61901299	62096944	ENSG00000150347	0	+	195645
chr10	72692130	72887694	ENSG00000156026	0	+	195564
chr9	85546538	85742029	ENSG00000135049	0	-	195491
chr17	46029915	46225389	ENSG00000120071	0	-	195474
chr1	70852352	71047808	ENSG00000050628	0	-	195456
chr16	14071320	14266773	ENSG00000186260	0	+	195453
chr1	86914647	87109998	ENSG00000153936	0	+	195351
chr2	36355925	36551135	ENSG00000150938	0	+	195210
chr10	110644396	110839469	ENSG00000203867	0	+	195073
chr14	35122548	35317474	ENSG00000258790	0	+	194926
chr13	28300343	28495145	ENSG00000102755	0	-	194802
chr8	1763887	1958627	ENSG00000283239	0	+	194740
